Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Pricing
Meat,310,Corporate,450,Refrigerated,All Seasons,Low
Meat,400,Birthday,500,Room Temperature,Winter,High
Vegetables,302,Birthday,371,Refrigerated,Summer,Low
Meat,491,Birthday,497,Refrigerated,All Seasons,High
Meat,300,Corporate,400,Refrigerated,Winter,Moderate
Meat,302,Birthday,371,Refrigerated,Summer,Low
Meat,240,Wedding,450,Refrigerated,Winter,Low
Meat,300,Wedding,400,Refrigerated,Summer,Moderate
Fruits,320,Corporate,400,Refrigerated,All Seasons,High
Meat,400,Corporate,500,Refrigerated,Winter,High
Fruits,320,Wedding,400,Room Temperature,Summer,High
Meat,302,Birthday,371,Room Temperature,Winter,Low
Meat,400,Wedding,500,Refrigerated,Summer,Low
Meat,250,Social Gathering,350,Room Temperature,Winter,Low
Fruits,267,Corporate,393,Refrigerated,Winter,Low
Meat,350,Wedding,450,Refrigerated,Winter,High
Fruits,300,Birthday,400,Room Temperature,Winter,Low
Fruits,380,Wedding,500,Room Temperature,Winter,High
Fruits,300,Birthday,450,Refrigerated,All Seasons,Low
Meat,220,Social Gathering,300,Room Temperature,Winter,Low
Meat,220,Corporate,450,Room Temperature,Winter,Moderate
Vegetables,220,Corporate,300,Refrigerated,Winter,Low
Meat,350,Corporate,450,Refrigerated,Summer,High
Fruits,400,Wedding,500,Refrigerated,Winter,High
Meat,320,Wedding,400,Refrigerated,Winter,Moderate
Fruits,400,Wedding,500,Refrigerated,All Seasons,High
Baked Goods,320,Corporate,400,Room Temperature,Summer,High
Meat,400,Birthday,500,Room Temperature,Winter,High
Meat,208,Wedding,282,Refrigerated,Summer,Moderate
Meat,280,Birthday,350,Room Temperature,Winter,Moderate
Meat,380,Corporate,400,Refrigerated,Winter,Moderate
Meat,438,Corporate,493,Refrigerated,Summer,Moderate
Fruits,350,Corporate,450,Refrigerated,All Seasons,Low
Meat,220,Corporate,300,Refrigerated,Winter,Moderate
Fruits,220,Corporate,300,Room Temperature,Winter,Moderate
Vegetables,280,Social Gathering,350,Room Temperature,Summer,Low
Meat,220,Corporate,300,Room Temperature,Winter,Moderate
Fruits,491,Wedding,497,Room Temperature,All Seasons,High
Fruits,400,Birthday,500,Room Temperature,Winter,High
Meat,250,Birthday,350,Refrigerated,Winter,Moderate
Meat,300,Corporate,400,Room Temperature,Winter,High
Dairy Products,439,Corporate,459,Room Temperature,Summer,Low
Fruits,240,Corporate,450,Room Temperature,Winter,Low
Baked Goods,300,Birthday,400,Room Temperature,Summer,Low
Fruits,280,Corporate,350,Refrigerated,Summer,Moderate
Fruits,350,Wedding,450,Room Temperature,All Seasons,High
Meat,400,Social Gathering,450,Refrigerated,All Seasons,Moderate
Fruits,434,Birthday,495,Room Temperature,Summer,Low
Fruits,300,Corporate,400,Refrigerated,All Seasons,Moderate
Fruits,290,Social Gathering,374,Room Temperature,Winter,Low
Dairy Products,300,Birthday,400,Room Temperature,Winter,Low
Meat,320,Social Gathering,400,Refrigerated,Summer,High
Baked Goods,320,Birthday,400,Room Temperature,Summer,Moderate
Meat,400,Social Gathering,500,Refrigerated,Summer,High
Vegetables,280,Birthday,350,Refrigerated,All Seasons,Moderate
Baked Goods,380,Corporate,500,Room Temperature,Winter,High
Meat,380,Birthday,480,Refrigerated,Summer,Moderate
Meat,400,Wedding,500,Refrigerated,Summer,High
Meat,320,Birthday,400,Refrigerated,All Seasons,High
Vegetables,280,Wedding,350,Refrigerated,Winter,Low
Vegetables,320,Birthday,400,Refrigerated,Summer,High
Fruits,250,Social Gathering,350,Room Temperature,All Seasons,Low
Vegetables,350,Corporate,450,Refrigerated,Winter,High
Meat,250,Wedding,350,Refrigerated,All Seasons,High
Vegetables,280,Corporate,350,Refrigerated,Summer,Moderate
Baked Goods,450,Birthday,500,Room Temperature,All Seasons,High
Dairy Products,250,Social Gathering,350,Room Temperature,Summer,Low
Fruits,230,Wedding,500,Room Temperature,All Seasons,Moderate
Baked Goods,320,Birthday,400,Room Temperature,Summer,Moderate
Baked Goods,442,Wedding,482,Room Temperature,All Seasons,Low
Baked Goods,250,Birthday,350,Room Temperature,Winter,High
Vegetables,310,Social Gathering,350,Refrigerated,Winter,High
Fruits,320,Social Gathering,400,Room Temperature,All Seasons,High
Dairy Products,350,Corporate,450,Room Temperature,Summer,High
Meat,400,Social Gathering,500,Refrigerated,Summer,High
Fruits,320,Corporate,400,Room Temperature,All Seasons,High
Vegetables,350,Wedding,450,Refrigerated,Winter,High
Meat,280,Social Gathering,350,Room Temperature,Winter,Moderate
Meat,350,Social Gathering,450,Refrigerated,All Seasons,High
Baked Goods,302,Social Gathering,371,Room Temperature,Summer,Low
Fruits,438,Corporate,493,Refrigerated,All Seasons,Moderate
Baked Goods,310,Corporate,350,Room Temperature,All Seasons,High
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,High
Fruits,300,Birthday,400,Room Temperature,All Seasons,Moderate
Baked Goods,280,Birthday,350,Room Temperature,Summer,Moderate
Dairy Products,400,Corporate,500,Room Temperature,Summer,Low
Vegetables,250,Corporate,350,Room Temperature,Winter,Moderate
Fruits,350,Corporate,450,Room Temperature,All Seasons,High
Dairy Products,300,Corporate,400,Room Temperature,Winter,High
Fruits,350,Corporate,450,Refrigerated,All Seasons,Moderate
Baked Goods,380,Corporate,500,Room Temperature,Winter,High
Dairy Products,250,Corporate,480,Room Temperature,All Seasons,Low
Dairy Products,300,Social Gathering,400,Room Temperature,Summer,High
Fruits,250,Wedding,350,Refrigerated,All Seasons,Moderate
Fruits,400,Social Gathering,500,Room Temperature,Summer,High
Baked Goods,300,Corporate,400,Room Temperature,Summer,Moderate
Meat,300,Social Gathering,400,Refrigerated,All Seasons,High
Fruits,350,Social Gathering,450,Room Temperature,Summer,High
Dairy Products,280,Corporate,350,Refrigerated,Summer,Moderate
Fruits,380,Social Gathering,500,Room Temperature,Winter,High
Dairy Products,240,Birthday,450,Room Temperature,All Seasons,Low
Baked Goods,397,Wedding,482,Room Temperature,All Seasons,Moderate
Baked Goods,320,Birthday,400,Room Temperature,All Seasons,Moderate
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,Moderate
Vegetables,400,Social Gathering,500,Refrigerated,Summer,High
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Moderate
Dairy Products,350,Wedding,450,Room Temperature,Winter,Moderate
Baked Goods,350,Corporate,450,Room Temperature,All Seasons,Moderate
Baked Goods,300,Social Gathering,400,Room Temperature,Winter,Moderate
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,High
Dairy Products,250,Social Gathering,350,Room Temperature,Summer,Moderate
Baked Goods,250,Birthday,350,Room Temperature,Winter,Moderate
Vegetables,400,Social Gathering,500,Room Temperature,Summer,High
Vegetables,290,Social Gathering,374,Room Temperature,All Seasons,Low
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Low
Vegetables,350,Corporate,450,Refrigerated,Summer,High
Fruits,267,Wedding,480,Refrigerated,Winter,Low
Fruits,290,Birthday,374,Refrigerated,Winter,Low
Fruits,300,Wedding,450,Room Temperature,Summer,High
Meat,400,Wedding,500,Refrigerated,Summer,High
Fruits,250,Birthday,350,Room Temperature,Summer,High
Vegetables,310,Birthday,350,Refrigerated,Summer,High
Meat,290,Social Gathering,374,Refrigerated,Summer,Low
Meat,250,Birthday,350,Refrigerated,Winter,High
Baked Goods,220,Wedding,300,Room Temperature,Summer,Low
Meat,400,Birthday,500,Refrigerated,Winter,High
Vegetables,250,Corporate,350,Refrigerated,Summer,Low
Vegetables,350,Corporate,450,Refrigerated,Summer,High
Meat,300,Birthday,400,Refrigerated,All Seasons,Low
Meat,250,Birthday,350,Refrigerated,Winter,Moderate
Meat,261,Wedding,350,Refrigerated,Summer,Moderate
Meat,400,Wedding,500,Refrigerated,All Seasons,High
Vegetables,350,Wedding,450,Refrigerated,Winter,High
Fruits,320,Social Gathering,400,Room Temperature,Summer,High
Fruits,300,Wedding,400,Refrigerated,Winter,Moderate
Vegetables,280,Birthday,350,Room Temperature,Summer,Low
Meat,220,Wedding,300,Refrigerated,Winter,Moderate
Vegetables,300,Corporate,400,Refrigerated,Winter,Moderate
Meat,250,Wedding,350,Room Temperature,Winter,Moderate
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Moderate
Baked Goods,380,Social Gathering,400,Room Temperature,Summer,Moderate
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,High
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Moderate
Dairy Products,230,Corporate,500,Room Temperature,All Seasons,Moderate
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,High
Dairy Products,380,Social Gathering,500,Room Temperature,Winter,Moderate
Dairy Products,342,Social Gathering,405,Room Temperature,All Seasons,Moderate
Fruits,400,Wedding,500,Refrigerated,Summer,High
Vegetables,275,Wedding,388,Room Temperature,All Seasons,Low
Vegetables,220,Social Gathering,300,Refrigerated,Winter,Low
Baked Goods,280,Wedding,400,Room Temperature,All Seasons,Moderate
Vegetables,400,Corporate,500,Refrigerated,Summer,High
Baked Goods,220,Wedding,300,Room Temperature,Winter,Moderate
Baked Goods,400,Wedding,500,Room Temperature,Winter,High
Dairy Products,400,Wedding,500,Refrigerated,Summer,Low
Meat,350,Social Gathering,450,Refrigerated,Summer,High
Dairy Products,300,Corporate,450,Room Temperature,Winter,High
Fruits,300,Corporate,450,Room Temperature,All Seasons,High
Dairy Products,472,Social Gathering,489,Room Temperature,Summer,Low
Fruits,397,Wedding,482,Room Temperature,Summer,Moderate
Dairy Products,439,Birthday,459,Room Temperature,All Seasons,Low
Vegetables,220,Corporate,300,Refrigerated,Summer,Moderate
Fruits,220,Birthday,300,Room Temperature,All Seasons,Moderate
Fruits,220,Birthday,300,Room Temperature,All Seasons,Moderate
Dairy Products,300,Corporate,420,Room Temperature,All Seasons,Low
Baked Goods,400,Corporate,500,Room Temperature,Winter,High
Baked Goods,280,Corporate,350,Room Temperature,Summer,Moderate
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,High
Baked Goods,350,Corporate,450,Room Temperature,Summer,High
